Date,Satellite Latitude,Satellite Longitude,Satellite NO2,Ground Latitude,Ground Longitude,Station Name,City,Ground NO2,Ground PM2.5,Ground PM10,Ground NO,Ground SO2,Ground CO,NDVI,Population Density,Distance (km)
01-06-2024,25.199858,85.44531,1.3545825e-05,25.1981,85.4197,Dangi Tola  Rajgir - BSPCB ,Rajgir,11.35,29.05,54.09,2.71,4.28,0.0,0.1753507,6,2.588488728895608
01-06-2024,25.204031,85.50947,1.4096574e-05,25.1975,85.516,D M Colony  Bihar Sharif - BSPCB ,Bihar Sharif,8.98,28.13,68.86,6.64,5.02,2.3,0.14938746,6,0.9780352854479044
01-06-2024,25.234585,87.03097,1.5041171e-05,25.2417,87.0176,Mayaganj  Bhagalpur - BSPCB ,Bhagalpur,5.27,58.59,85.3,1.6,9.31,0.47,0.14767025,5,1.560727124472883
01-06-2024,25.281593,82.96663,2.2636419e-05,25.2677,82.9913,IESD Banaras Hindu University  Varanasi - UPPCB ,Varanasi,1.71,4.72,22.44,6.48,16.73,0.18,0.17535284,6,2.922874691761724
01-06-2024,25.286806,83.01275,2.8172604e-05,25.2968,82.9963,Bhelupur  Varanasi - UPPCB ,Varanasi,6.21,5.88,28.0,2.59,24.57,0.54,0.15171547,6,1.9925597584193984
01-06-2024,25.336035,83.00176,3.424762e-05,25.3215,82.9848,Ardhali Bazar  Varanasi - UPPCB ,Varanasi,30.52,33.9,71.68,13.13,10.45,0.7,0.086610004,6,2.3469677150027586
01-06-2024,25.347355,74.613914,1.254225e-05,25.346,74.6348,Pratap Nagar  Bhilwara - RSPCB ,Bhilwara,9.29,25.43,48.93,1.9,9.92,0.56,0.117746286,5,2.1078403691154444
01-06-2024,25.446354,81.85889,3.778062e-05,25.4358,81.8463,Nagar Nigam  Prayagraj - UPPCB ,Prayagraj,4.27,61.83,91.81,1.59,51.46,0.77,0.034323726,6,1.723567945464327
01-06-2024,25.454098,75.64543,1.300276e-05,25.4448,75.6417,New Colony  Bundi - RSPCB ,Bundi,13.41,24.1,135.2,1.85,6.74,0.46,0.17734909,5,1.0962237485565125
01-06-2024,25.495607,81.84741,3.5856934e-05,25.4926,81.8639,Motilal Nehru NIT  Prayagraj - UPPCB ,Prayagraj,9.34,22.75,65.66,1.12,27.49,0.75,0.18447573,6,1.6910819176956278
01-06-2024,25.501265,81.88856,3.426861e-05,25.4926,81.8639,Motilal Nehru NIT  Prayagraj - UPPCB ,Prayagraj,9.34,22.75,65.66,1.12,27.49,0.75,0.051041946,6,2.6586601923902253
01-06-2024,25.541018,84.636246,2.2873912e-05,25.556,84.6603,New DM Office  Arrah - BSPCB ,Arrah,8.05,29.53,94.83,2.69,6.15,0.38,0.18405391,6,2.9322891883738764
01-06-2024,25.550827,87.567856,1.62601e-05,25.5584,87.5581,Mirchaibari  Katihar - BSPCB ,Katihar,2.8,26.38,79.61,3.72,8.43,0.59,0.13985644,6,1.2903560864333283
01-06-2024,25.576141,85.113495,2.377312e-05,25.5891,85.1105,Muradpur  Patna - BSPCB ,Patna,19.97,59.76,160.26,5.83,4.83,0.94,0.14318737,6,1.4668148662924272
01-06-2024,25.580406,85.17553,2.0012432e-05,25.5898,85.1584,Samanpura  Patna - BSPCB ,Patna,11.02,58.66,139.46,4.74,5.4,1.07,0.1767113,6,2.01118071844794
01-06-2024,25.62102,85.041855,2.2114118e-05,25.6169,85.0465,DRM Office Danapur  Patna - BSPCB ,Patna,13.84,46.44,105.8,0.76,2.02,0.59,0.17187932,6,0.652670019596817
01-06-2024,25.682945,85.21799,2.2705746e-05,25.6857,85.2174,Industrial Area  Hajipur - BSPCB ,Hajipur,15.16,73.25,121.95,12.19,4.99,0.59,0.16967945,6,0.3109010803663857
